case_id,condition_id,question_policy,budget,prefix_depth,step_index,question_id,observed_answer,information_gain,predicted_domain_before,predicted_domain_after,domain_entropy_before,domain_entropy_after,entropy_reduction,truth_retained_after,final_correct_after_step
package-manifest__noisy,masked-adversarial,information-gain,1,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__noisy,masked-adversarial,information-gain,2,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__noisy,masked-adversarial,information-gain,2,2,2,manuscript-review,no,0.959,manuscript,sample,1.792,1.98,-0.188,0,0
package-manifest__noisy,masked-adversarial,information-gain,3,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__noisy,masked-adversarial,information-gain,3,2,2,manuscript-review,no,0.959,manuscript,sample,1.792,1.98,-0.188,0,0
package-manifest__noisy,masked-adversarial,information-gain,3,2,3,sample-assay,no,1,sample,compliance,1.98,2,-0.02,0,0
package-manifest__noisy,masked-adversarial,top-domain,1,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__noisy,masked-adversarial,top-domain,2,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__noisy,masked-adversarial,top-domain,2,2,2,manuscript-review,no,0.959,manuscript,sample,1.792,1.98,-0.188,0,0
package-manifest__noisy,masked-adversarial,top-domain,3,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__noisy,masked-adversarial,top-domain,3,2,2,manuscript-review,no,0.959,manuscript,sample,1.792,1.98,-0.188,0,0
package-manifest__noisy,masked-adversarial,top-domain,3,2,3,sample-assay,no,1,sample,compliance,1.98,2,-0.02,0,0
package-manifest__noisy,masked-adversarial,random,1,2,1,package-tracking,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__noisy,masked-adversarial,random,2,2,1,package-tracking,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__noisy,masked-adversarial,random,2,2,2,manuscript-revision,no,0.959,manuscript,sample,1.792,1.98,-0.188,0,0
package-manifest__noisy,masked-adversarial,random,3,2,1,package-tracking,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__noisy,masked-adversarial,random,3,2,2,manuscript-revision,no,0.959,manuscript,sample,1.792,1.98,-0.188,0,0
package-manifest__noisy,masked-adversarial,random,3,2,3,compliance-signoff,yes,0.537,sample,compliance,1.98,0.969,1.011,0,0
package-return__paraphrased,masked-noisy,information-gain,1,2,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__paraphrased,masked-noisy,information-gain,2,2,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__paraphrased,masked-noisy,information-gain,2,2,2,package-dispatch,yes,1,package,package,1,0,1,1,1
package-return__paraphrased,masked-noisy,information-gain,3,2,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__paraphrased,masked-noisy,information-gain,3,2,2,package-dispatch,yes,1,package,package,1,0,1,1,1
package-return__paraphrased,masked-noisy,top-domain,1,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-noisy,top-domain,2,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-noisy,top-domain,3,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-noisy,random,1,2,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__paraphrased,masked-noisy,random,2,2,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__paraphrased,masked-noisy,random,2,2,2,sample-temperature,no,1,package,package,1,1.972,-0.972,1,1
package-return__paraphrased,masked-noisy,random,3,2,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__paraphrased,masked-noisy,random,3,2,2,sample-temperature,no,1,package,package,1,1.972,-0.972,1,1
package-return__paraphrased,masked-noisy,random,3,2,3,incident-containment,yes,0.534,package,incident,1.972,0.955,1.017,1,0
package-return__paraphrased,masked-adversarial,information-gain,1,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,information-gain,2,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,information-gain,3,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,top-domain,1,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,top-domain,2,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,top-domain,3,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,random,1,2,1,manuscript-revision,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,random,2,2,1,manuscript-revision,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,random,3,2,1,manuscript-revision,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-noisy,information-gain,1,3,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__paraphrased,masked-noisy,information-gain,2,3,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__paraphrased,masked-noisy,information-gain,2,3,2,package-dispatch,yes,1,package,package,1,0,1,1,1
package-return__paraphrased,masked-noisy,information-gain,3,3,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__paraphrased,masked-noisy,information-gain,3,3,2,package-dispatch,yes,1,package,package,1,0,1,1,1
package-return__paraphrased,masked-noisy,top-domain,1,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-noisy,top-domain,2,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-noisy,top-domain,3,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-noisy,random,1,3,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__paraphrased,masked-noisy,random,2,3,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__paraphrased,masked-noisy,random,2,3,2,sample-assay,no,1,package,package,1,1.972,-0.972,1,1
package-return__paraphrased,masked-noisy,random,3,3,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__paraphrased,masked-noisy,random,3,3,2,sample-assay,no,1,package,package,1,1.972,-0.972,1,1
package-return__paraphrased,masked-noisy,random,3,3,3,package-tracking,yes,0.999,package,package,1.972,0,1.972,1,1
package-return__paraphrased,masked-adversarial,information-gain,1,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,information-gain,2,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,information-gain,3,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,top-domain,1,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,top-domain,2,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,top-domain,3,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,random,1,3,1,manuscript-revision,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,random,2,3,1,manuscript-revision,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__paraphrased,masked-adversarial,random,3,3,1,manuscript-revision,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-noisy,information-gain,1,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-noisy,information-gain,2,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-noisy,information-gain,3,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-noisy,top-domain,1,2,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__noisy,masked-noisy,top-domain,2,2,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__noisy,masked-noisy,top-domain,2,2,2,package-dispatch,yes,1,package,package,1,0,1,1,1
package-return__noisy,masked-noisy,top-domain,3,2,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__noisy,masked-noisy,top-domain,3,2,2,package-dispatch,yes,1,package,package,1,0,1,1,1
package-return__noisy,masked-noisy,random,1,2,1,sample-assay,no,0.821,manuscript,manuscript,1.565,1,0.565,1,0
package-return__noisy,masked-noisy,random,2,2,1,sample-assay,no,0.821,manuscript,manuscript,1.565,1,0.565,1,0
package-return__noisy,masked-noisy,random,2,2,2,manuscript-revision,yes,1,manuscript,manuscript,1,0,1,0,0
package-return__noisy,masked-noisy,random,3,2,1,sample-assay,no,0.821,manuscript,manuscript,1.565,1,0.565,1,0
package-return__noisy,masked-noisy,random,3,2,2,manuscript-revision,yes,1,manuscript,manuscript,1,0,1,0,0
package-return__noisy,masked-adversarial,information-gain,1,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,information-gain,2,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,information-gain,3,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,top-domain,1,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,top-domain,2,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,top-domain,3,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,random,1,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,random,2,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,random,3,2,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-noisy,information-gain,1,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-noisy,information-gain,2,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-noisy,information-gain,3,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-noisy,top-domain,1,3,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__noisy,masked-noisy,top-domain,2,3,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__noisy,masked-noisy,top-domain,2,3,2,package-dispatch,yes,1,package,package,1,0,1,1,1
package-return__noisy,masked-noisy,top-domain,3,3,1,manuscript-review,no,0.952,manuscript,package,1.565,1,0.565,1,1
package-return__noisy,masked-noisy,top-domain,3,3,2,package-dispatch,yes,1,package,package,1,0,1,1,1
package-return__noisy,masked-noisy,random,1,3,1,sample-assay,no,0.821,manuscript,manuscript,1.565,1,0.565,1,0
package-return__noisy,masked-noisy,random,2,3,1,sample-assay,no,0.821,manuscript,manuscript,1.565,1,0.565,1,0
package-return__noisy,masked-noisy,random,2,3,2,manuscript-review,yes,1,manuscript,manuscript,1,0,1,0,0
package-return__noisy,masked-noisy,random,3,3,1,sample-assay,no,0.821,manuscript,manuscript,1.565,1,0.565,1,0
package-return__noisy,masked-noisy,random,3,3,2,manuscript-review,yes,1,manuscript,manuscript,1,0,1,0,0
package-return__noisy,masked-adversarial,information-gain,1,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,information-gain,2,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,information-gain,3,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,top-domain,1,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,top-domain,2,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,top-domain,3,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,random,1,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,random,2,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-return__noisy,masked-adversarial,random,3,3,1,manuscript-review,yes,0.952,manuscript,manuscript,1.565,0,1.565,0,0
package-transfer__paraphrased,clean-gold,information-gain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,clean-gold,information-gain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,clean-gold,information-gain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,clean-gold,top-domain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,clean-gold,top-domain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,clean-gold,top-domain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,clean-gold,random,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,clean-gold,random,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,clean-gold,random,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,information-gain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,information-gain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,information-gain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,top-domain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,top-domain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,top-domain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,random,1,2,1,package-tracking,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-noisy,random,2,2,1,package-tracking,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-noisy,random,2,2,2,procurement-invoice,no,0.53,manuscript,manuscript,1.398,1,0.398,0,0
package-transfer__paraphrased,masked-noisy,random,3,2,1,package-tracking,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-noisy,random,3,2,2,procurement-invoice,no,0.53,manuscript,manuscript,1.398,1,0.398,0,0
package-transfer__paraphrased,masked-noisy,random,3,2,3,sample-assay,no,1,manuscript,manuscript,1,1.91,-0.91,1,0
package-transfer__paraphrased,masked-adversarial,information-gain,1,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-adversarial,information-gain,2,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-adversarial,information-gain,2,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__paraphrased,masked-adversarial,information-gain,3,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-adversarial,information-gain,3,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__paraphrased,masked-adversarial,information-gain,3,2,3,sample-assay,no,0.997,sample,procurement,1.935,1.942,-0.007,1,0
package-transfer__paraphrased,masked-adversarial,top-domain,1,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-adversarial,top-domain,2,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-adversarial,top-domain,2,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__paraphrased,masked-adversarial,top-domain,3,2,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-adversarial,top-domain,3,2,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__paraphrased,masked-adversarial,top-domain,3,2,3,sample-assay,no,0.997,sample,procurement,1.935,1.942,-0.007,1,0
package-transfer__paraphrased,masked-adversarial,random,1,2,1,manuscript-revision,yes,0.59,package,manuscript,1.634,0.958,0.675,1,0
package-transfer__paraphrased,masked-adversarial,random,2,2,1,manuscript-revision,yes,0.59,package,manuscript,1.634,0.958,0.675,1,0
package-transfer__paraphrased,masked-adversarial,random,2,2,2,package-tracking,no,0.958,manuscript,manuscript,0.958,0.653,0.305,1,0
package-transfer__paraphrased,masked-adversarial,random,3,2,1,manuscript-revision,yes,0.59,package,manuscript,1.634,0.958,0.675,1,0
package-transfer__paraphrased,masked-adversarial,random,3,2,2,package-tracking,no,0.958,manuscript,manuscript,0.958,0.653,0.305,1,0
package-transfer__paraphrased,masked-adversarial,random,3,2,3,manuscript-revision,no,0.653,manuscript,manuscript,0.653,1.712,-1.058,0,0
package-transfer__paraphrased,masked-noisy,information-gain,1,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,information-gain,2,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,information-gain,3,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,top-domain,1,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,top-domain,2,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,top-domain,3,3,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,random,1,3,1,package-tracking,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,random,2,3,1,package-tracking,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-noisy,random,3,3,1,package-tracking,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__paraphrased,masked-adversarial,information-gain,1,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-adversarial,information-gain,2,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-adversarial,information-gain,2,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__paraphrased,masked-adversarial,information-gain,3,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-adversarial,information-gain,3,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__paraphrased,masked-adversarial,information-gain,3,3,3,sample-assay,no,0.997,sample,procurement,1.935,1.942,-0.007,1,0
package-transfer__paraphrased,masked-adversarial,top-domain,1,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-adversarial,top-domain,2,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-adversarial,top-domain,2,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__paraphrased,masked-adversarial,top-domain,3,3,1,package-dispatch,no,0.978,package,manuscript,1.634,1.398,0.236,0,0
package-transfer__paraphrased,masked-adversarial,top-domain,3,3,2,manuscript-review,no,1,manuscript,sample,1.398,1.935,-0.537,0,0
package-transfer__paraphrased,masked-adversarial,top-domain,3,3,3,sample-assay,no,0.997,sample,procurement,1.935,1.942,-0.007,1,0
package-transfer__paraphrased,masked-adversarial,random,1,3,1,manuscript-revision,yes,0.59,package,manuscript,1.634,0.958,0.675,1,0
package-transfer__paraphrased,masked-adversarial,random,2,3,1,manuscript-revision,yes,0.59,package,manuscript,1.634,0.958,0.675,1,0
package-transfer__paraphrased,masked-adversarial,random,2,3,2,manuscript-review,yes,0.958,manuscript,manuscript,0.958,0.647,0.311,1,0
package-transfer__paraphrased,masked-adversarial,random,3,3,1,manuscript-revision,yes,0.59,package,manuscript,1.634,0.958,0.675,1,0
package-transfer__paraphrased,masked-adversarial,random,3,3,2,manuscript-review,yes,0.958,manuscript,manuscript,0.958,0.647,0.311,1,0
package-transfer__paraphrased,masked-adversarial,random,3,3,3,manuscript-review,no,0.647,manuscript,manuscript,0.647,0.977,-0.33,1,0
package-transfer__noisy,clean-gold,information-gain,1,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__noisy,clean-gold,information-gain,2,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
package-transfer__noisy,clean-gold,information-gain,3,2,1,package-dispatch,yes,0.978,package,package,1.634,0,1.634,1,1
