case_id,source_case_id,stratum,prefix_depth,ground_truth_domain,benchmark_family,usage_mode,canonical_run_id,frontier_top_domain,frontier_top_confidence,frontier_top_accuracy,frontier_retention_truth,ground_truth_rank,single_theory_domain,single_theory_accuracy,cue_vote_domain,cue_vote_confidence,cue_vote_accuracy,naive_bayes_domain,naive_bayes_confidence,naive_bayes_accuracy,domain_entropy,frontier_width,question_available,premature_collapse
package-manifest__noisy,package-manifest,noisy,3,package,core,canonical-cnl,package-manifest__noisy_clean_p3_rich,package,1,1,1,1,package,1,package,1,1,package,0.956,1,0,4,0,0
package-manifest__noisy,package-manifest,noisy,4,package,core,canonical-cnl,package-manifest__noisy_clean_p4_rich,package,1,1,1,1,package,1,package,1,1,package,1,1,0,4,0,0
package-return__controlled,package-return,controlled,1,package,core,canonical-cnl,package-return__controlled_clean_p1_rich,package,0.512,1,1,1,package,1,compliance,0.143,0,incident,0.271,0,1.974,8,1,0
package-return__controlled,package-return,controlled,2,package,core,canonical-cnl,package-return__controlled_clean_p2_rich,package,1,1,1,1,package,1,package,1,1,package,0.646,1,0,4,0,0
package-return__controlled,package-return,controlled,3,package,core,canonical-cnl,package-return__controlled_clean_p3_rich,package,1,1,1,1,package,1,package,1,1,package,0.998,1,0,4,0,0
package-return__controlled,package-return,controlled,4,package,core,canonical-cnl,package-return__controlled_clean_p4_rich,package,1,1,1,1,package,1,package,1,1,package,1,1,0,4,0,0
package-return__paraphrased,package-return,paraphrased,1,package,core,canonical-cnl,package-return__paraphrased_clean_p1_rich,manuscript,0.372,0,1,2,manuscript,0,compliance,0.143,0,procurement,0.307,0,1.565,8,1,0
package-return__paraphrased,package-return,paraphrased,2,package,core,canonical-cnl,package-return__paraphrased_clean_p2_rich,package,1,1,1,1,package,1,package,1,1,package,0.593,1,0,4,0,0
package-return__paraphrased,package-return,paraphrased,3,package,core,canonical-cnl,package-return__paraphrased_clean_p3_rich,package,1,1,1,1,package,1,package,1,1,package,1,1,0,4,0,0
package-return__paraphrased,package-return,paraphrased,4,package,core,canonical-cnl,package-return__paraphrased_clean_p4_rich,package,1,1,1,1,package,1,package,1,1,package,1,1,0,4,0,0
package-return__noisy,package-return,noisy,1,package,core,canonical-cnl,package-return__noisy_clean_p1_rich,manuscript,0.372,0,1,2,manuscript,0,compliance,0.143,0,incident,0.271,0,1.565,8,1,0
package-return__noisy,package-return,noisy,2,package,core,canonical-cnl,package-return__noisy_clean_p2_rich,package,1,1,1,1,package,1,package,1,1,package,0.759,1,0,4,0,0
package-return__noisy,package-return,noisy,3,package,core,canonical-cnl,package-return__noisy_clean_p3_rich,package,1,1,1,1,package,1,package,1,1,package,1,1,0,4,0,0
package-return__noisy,package-return,noisy,4,package,core,canonical-cnl,package-return__noisy_clean_p4_rich,package,1,1,1,1,package,1,package,1,1,package,1,1,0,4,0,0
package-transfer__controlled,package-transfer,controlled,1,package,core,canonical-cnl,package-transfer__controlled_clean_p1_rich,package,0.512,1,1,1,package,1,compliance,0.143,0,manuscript,0.29,0,1.974,8,1,0
package-transfer__controlled,package-transfer,controlled,2,package,core,canonical-cnl,package-transfer__controlled_clean_p2_rich,package,0.586,1,1,1,package,1,compliance,0.143,0,package,0.754,1,1.634,7,1,0
package-transfer__controlled,package-transfer,controlled,3,package,core,canonical-cnl,package-transfer__controlled_clean_p3_rich,package,1,1,1,1,package,1,package,1,1,package,0.978,1,0,4,0,0
package-transfer__controlled,package-transfer,controlled,4,package,core,canonical-cnl,package-transfer__controlled_clean_p4_rich,package,1,1,1,1,package,1,package,1,1,package,0.999,1,0,4,0,0
package-transfer__paraphrased,package-transfer,paraphrased,1,package,core,canonical-cnl,package-transfer__paraphrased_clean_p1_rich,package,0.512,1,1,1,package,1,compliance,0.143,0,manuscript,0.19,0,1.974,8,1,0
package-transfer__paraphrased,package-transfer,paraphrased,2,package,core,canonical-cnl,package-transfer__paraphrased_clean_p2_rich,package,0.586,1,1,1,package,1,compliance,0.143,0,package,0.469,1,1.634,7,1,0
package-transfer__paraphrased,package-transfer,paraphrased,3,package,core,canonical-cnl,package-transfer__paraphrased_clean_p3_rich,package,1,1,1,1,package,1,package,1,1,package,0.955,1,0,4,0,0
package-transfer__paraphrased,package-transfer,paraphrased,4,package,core,canonical-cnl,package-transfer__paraphrased_clean_p4_rich,package,1,1,1,1,package,1,package,1,1,package,0.998,1,0,4,0,0
package-transfer__noisy,package-transfer,noisy,1,package,core,canonical-cnl,package-transfer__noisy_clean_p1_rich,package,0.512,1,1,1,package,1,compliance,0.143,0,sample,0.329,0,1.974,8,1,0
package-transfer__noisy,package-transfer,noisy,2,package,core,canonical-cnl,package-transfer__noisy_clean_p2_rich,package,0.586,1,1,1,package,1,compliance,0.143,0,package,0.565,1,1.634,7,1,0
package-transfer__noisy,package-transfer,noisy,3,package,core,canonical-cnl,package-transfer__noisy_clean_p3_rich,package,1,1,1,1,package,1,package,1,1,package,0.986,1,0,4,0,0
package-transfer__noisy,package-transfer,noisy,4,package,core,canonical-cnl,package-transfer__noisy_clean_p4_rich,package,1,1,1,1,package,1,package,1,1,package,1,1,0,4,0,0
sample-aliquot__controlled,sample-aliquot,controlled,1,sample,core,canonical-cnl,sample-aliquot__controlled_clean_p1_rich,package,0.512,0,1,3,package,0,compliance,0.143,0,sample,0.932,1,1.974,8,1,0
sample-aliquot__controlled,sample-aliquot,controlled,2,sample,core,canonical-cnl,sample-aliquot__controlled_clean_p2_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.943,1,0,4,0,0
sample-aliquot__controlled,sample-aliquot,controlled,3,sample,core,canonical-cnl,sample-aliquot__controlled_clean_p3_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.884,1,0,4,0,0
sample-aliquot__controlled,sample-aliquot,controlled,4,sample,core,canonical-cnl,sample-aliquot__controlled_clean_p4_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.999,1,0,4,0,0
sample-aliquot__paraphrased,sample-aliquot,paraphrased,1,sample,core,canonical-cnl,sample-aliquot__paraphrased_clean_p1_rich,package,0.512,0,1,3,package,0,compliance,0.143,0,sample,0.807,1,1.974,8,1,0
sample-aliquot__paraphrased,sample-aliquot,paraphrased,2,sample,core,canonical-cnl,sample-aliquot__paraphrased_clean_p2_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.928,1,0,4,0,0
sample-aliquot__paraphrased,sample-aliquot,paraphrased,3,sample,core,canonical-cnl,sample-aliquot__paraphrased_clean_p3_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.937,1,0,4,0,0
sample-aliquot__paraphrased,sample-aliquot,paraphrased,4,sample,core,canonical-cnl,sample-aliquot__paraphrased_clean_p4_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,1,1,0,4,0,0
sample-aliquot__noisy,sample-aliquot,noisy,1,sample,core,canonical-cnl,sample-aliquot__noisy_clean_p1_rich,package,0.512,0,1,3,package,0,compliance,0.143,0,sample,0.932,1,1.974,8,1,0
sample-aliquot__noisy,sample-aliquot,noisy,2,sample,core,canonical-cnl,sample-aliquot__noisy_clean_p2_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.966,1,0,4,0,0
sample-aliquot__noisy,sample-aliquot,noisy,3,sample,core,canonical-cnl,sample-aliquot__noisy_clean_p3_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.977,1,0,4,0,0
sample-aliquot__noisy,sample-aliquot,noisy,4,sample,core,canonical-cnl,sample-aliquot__noisy_clean_p4_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,1,1,0,4,0,0
sample-cold-room__controlled,sample-cold-room,controlled,1,sample,core,canonical-cnl,sample-cold-room__controlled_clean_p1_rich,package,0.512,0,1,3,package,0,compliance,0.143,0,sample,0.843,1,1.974,8,1,0
sample-cold-room__controlled,sample-cold-room,controlled,2,sample,core,canonical-cnl,sample-cold-room__controlled_clean_p2_rich,package,0.586,0,1,3,package,0,compliance,0.143,0,sample,0.427,1,1.634,7,1,0
sample-cold-room__controlled,sample-cold-room,controlled,3,sample,core,canonical-cnl,sample-cold-room__controlled_clean_p3_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.883,1,0,4,0,0
sample-cold-room__controlled,sample-cold-room,controlled,4,sample,core,canonical-cnl,sample-cold-room__controlled_clean_p4_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.991,1,0,4,0,0
sample-cold-room__paraphrased,sample-cold-room,paraphrased,1,sample,core,canonical-cnl,sample-cold-room__paraphrased_clean_p1_rich,package,0.512,0,1,3,package,0,compliance,0.143,0,sample,0.807,1,1.974,8,1,0
sample-cold-room__paraphrased,sample-cold-room,paraphrased,2,sample,core,canonical-cnl,sample-cold-room__paraphrased_clean_p2_rich,package,0.586,0,1,3,package,0,compliance,0.143,0,sample,0.562,1,1.634,7,1,0
sample-cold-room__paraphrased,sample-cold-room,paraphrased,3,sample,core,canonical-cnl,sample-cold-room__paraphrased_clean_p3_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.978,1,0,4,0,0
sample-cold-room__paraphrased,sample-cold-room,paraphrased,4,sample,core,canonical-cnl,sample-cold-room__paraphrased_clean_p4_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,1,1,0,4,0,0
sample-cold-room__noisy,sample-cold-room,noisy,1,sample,core,canonical-cnl,sample-cold-room__noisy_clean_p1_rich,package,0.512,0,1,3,package,0,compliance,0.143,0,sample,0.932,1,1.974,8,1,0
sample-cold-room__noisy,sample-cold-room,noisy,2,sample,core,canonical-cnl,sample-cold-room__noisy_clean_p2_rich,package,0.586,0,1,3,package,0,compliance,0.143,0,sample,0.712,1,1.634,7,1,0
sample-cold-room__noisy,sample-cold-room,noisy,3,sample,core,canonical-cnl,sample-cold-room__noisy_clean_p3_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.989,1,0,4,0,0
sample-cold-room__noisy,sample-cold-room,noisy,4,sample,core,canonical-cnl,sample-cold-room__noisy_clean_p4_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,1,1,0,4,0,0
sample-centrifuge__controlled,sample-centrifuge,controlled,1,sample,core,canonical-cnl,sample-centrifuge__controlled_clean_p1_rich,package,0.512,0,1,3,package,0,compliance,0.143,0,package,0.381,0,1.974,8,1,0
sample-centrifuge__controlled,sample-centrifuge,controlled,2,sample,core,canonical-cnl,sample-centrifuge__controlled_clean_p2_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.927,1,0,4,0,0
sample-centrifuge__controlled,sample-centrifuge,controlled,3,sample,core,canonical-cnl,sample-centrifuge__controlled_clean_p3_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,1,1,0,4,0,0
sample-centrifuge__controlled,sample-centrifuge,controlled,4,sample,core,canonical-cnl,sample-centrifuge__controlled_clean_p4_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,1,1,0,4,0,0
sample-centrifuge__paraphrased,sample-centrifuge,paraphrased,1,sample,core,canonical-cnl,sample-centrifuge__paraphrased_clean_p1_rich,manuscript,0.372,0,1,3,manuscript,0,compliance,0.143,0,package,0.238,0,1.565,8,1,0
sample-centrifuge__paraphrased,sample-centrifuge,paraphrased,2,sample,core,canonical-cnl,sample-centrifuge__paraphrased_clean_p2_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.892,1,0,4,0,0
sample-centrifuge__paraphrased,sample-centrifuge,paraphrased,3,sample,core,canonical-cnl,sample-centrifuge__paraphrased_clean_p3_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,1,1,0,4,0,0
sample-centrifuge__paraphrased,sample-centrifuge,paraphrased,4,sample,core,canonical-cnl,sample-centrifuge__paraphrased_clean_p4_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,1,1,0,4,0,0
sample-centrifuge__noisy,sample-centrifuge,noisy,1,sample,core,canonical-cnl,sample-centrifuge__noisy_clean_p1_rich,manuscript,0.372,0,1,3,manuscript,0,compliance,0.143,0,package,0.381,0,1.565,8,1,0
sample-centrifuge__noisy,sample-centrifuge,noisy,2,sample,core,canonical-cnl,sample-centrifuge__noisy_clean_p2_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,0.951,1,0,4,0,0
sample-centrifuge__noisy,sample-centrifuge,noisy,3,sample,core,canonical-cnl,sample-centrifuge__noisy_clean_p3_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,1,1,0,4,0,0
sample-centrifuge__noisy,sample-centrifuge,noisy,4,sample,core,canonical-cnl,sample-centrifuge__noisy_clean_p4_rich,sample,1,1,1,1,sample,1,sample,1,1,sample,1,1,0,4,0,0
manuscript-peer-review__controlled,manuscript-peer-review,controlled,1,manuscript,core,canonical-cnl,manuscript-peer-review__controlled_clean_p1_rich,package,0.512,0,1,2,package,0,compliance,0.143,0,manuscript,0.726,1,1.974,8,1,0
manuscript-peer-review__controlled,manuscript-peer-review,controlled,2,manuscript,core,canonical-cnl,manuscript-peer-review__controlled_clean_p2_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.975,1,0,4,0,0
manuscript-peer-review__controlled,manuscript-peer-review,controlled,3,manuscript,core,canonical-cnl,manuscript-peer-review__controlled_clean_p3_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,1,1,0,4,0,0
manuscript-peer-review__controlled,manuscript-peer-review,controlled,4,manuscript,core,canonical-cnl,manuscript-peer-review__controlled_clean_p4_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,1,1,0,3,0,0
manuscript-peer-review__paraphrased,manuscript-peer-review,paraphrased,1,manuscript,core,canonical-cnl,manuscript-peer-review__paraphrased_clean_p1_rich,package,0.512,0,1,2,package,0,compliance,0.143,0,manuscript,0.506,1,1.974,8,1,0
manuscript-peer-review__paraphrased,manuscript-peer-review,paraphrased,2,manuscript,core,canonical-cnl,manuscript-peer-review__paraphrased_clean_p2_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.927,1,0,4,0,0
manuscript-peer-review__paraphrased,manuscript-peer-review,paraphrased,3,manuscript,core,canonical-cnl,manuscript-peer-review__paraphrased_clean_p3_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.999,1,0,4,0,0
manuscript-peer-review__paraphrased,manuscript-peer-review,paraphrased,4,manuscript,core,canonical-cnl,manuscript-peer-review__paraphrased_clean_p4_rich,manuscript,1,1,1,1,manuscript,1,manuscript,0.717,1,manuscript,1,1,0,4,0,0
manuscript-peer-review__noisy,manuscript-peer-review,noisy,1,manuscript,core,canonical-cnl,manuscript-peer-review__noisy_clean_p1_rich,package,0.512,0,1,2,package,0,compliance,0.143,0,manuscript,0.726,1,1.974,8,1,0
manuscript-peer-review__noisy,manuscript-peer-review,noisy,2,manuscript,core,canonical-cnl,manuscript-peer-review__noisy_clean_p2_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.978,1,0,4,0,0
manuscript-peer-review__noisy,manuscript-peer-review,noisy,3,manuscript,core,canonical-cnl,manuscript-peer-review__noisy_clean_p3_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,1,1,0,4,0,0
manuscript-peer-review__noisy,manuscript-peer-review,noisy,4,manuscript,core,canonical-cnl,manuscript-peer-review__noisy_clean_p4_rich,manuscript,1,1,1,1,manuscript,1,manuscript,0.717,1,manuscript,1,1,0,4,0,0
manuscript-revision-cycle__controlled,manuscript-revision-cycle,controlled,1,manuscript,core,canonical-cnl,manuscript-revision-cycle__controlled_clean_p1_rich,package,0.512,0,1,2,package,0,compliance,0.143,0,manuscript,0.629,1,1.974,8,1,0
manuscript-revision-cycle__controlled,manuscript-revision-cycle,controlled,2,manuscript,core,canonical-cnl,manuscript-revision-cycle__controlled_clean_p2_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.99,1,0,4,0,0
manuscript-revision-cycle__controlled,manuscript-revision-cycle,controlled,3,manuscript,core,canonical-cnl,manuscript-revision-cycle__controlled_clean_p3_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,1,1,0,4,0,0
manuscript-revision-cycle__controlled,manuscript-revision-cycle,controlled,4,manuscript,core,canonical-cnl,manuscript-revision-cycle__controlled_clean_p4_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,1,1,0,3,0,0
manuscript-revision-cycle__paraphrased,manuscript-revision-cycle,paraphrased,1,manuscript,core,canonical-cnl,manuscript-revision-cycle__paraphrased_clean_p1_rich,manuscript,0.372,1,1,1,manuscript,1,compliance,0.143,0,manuscript,0.508,1,1.565,8,1,0
manuscript-revision-cycle__paraphrased,manuscript-revision-cycle,paraphrased,2,manuscript,core,canonical-cnl,manuscript-revision-cycle__paraphrased_clean_p2_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.984,1,0,4,0,0
manuscript-revision-cycle__paraphrased,manuscript-revision-cycle,paraphrased,3,manuscript,core,canonical-cnl,manuscript-revision-cycle__paraphrased_clean_p3_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,1,1,0,4,0,0
manuscript-revision-cycle__paraphrased,manuscript-revision-cycle,paraphrased,4,manuscript,core,canonical-cnl,manuscript-revision-cycle__paraphrased_clean_p4_rich,manuscript,1,1,1,1,manuscript,1,manuscript,0.735,1,manuscript,1,1,0,4,0,0
manuscript-revision-cycle__noisy,manuscript-revision-cycle,noisy,1,manuscript,core,canonical-cnl,manuscript-revision-cycle__noisy_clean_p1_rich,manuscript,0.372,1,1,1,manuscript,1,compliance,0.143,0,manuscript,0.629,1,1.565,8,1,0
manuscript-revision-cycle__noisy,manuscript-revision-cycle,noisy,2,manuscript,core,canonical-cnl,manuscript-revision-cycle__noisy_clean_p2_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.986,1,0,4,0,0
manuscript-revision-cycle__noisy,manuscript-revision-cycle,noisy,3,manuscript,core,canonical-cnl,manuscript-revision-cycle__noisy_clean_p3_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,1,1,0,4,0,0
manuscript-revision-cycle__noisy,manuscript-revision-cycle,noisy,4,manuscript,core,canonical-cnl,manuscript-revision-cycle__noisy_clean_p4_rich,manuscript,1,1,1,1,manuscript,1,manuscript,0.735,1,manuscript,1,1,0,4,0,0
manuscript-accepted__controlled,manuscript-accepted,controlled,1,manuscript,core,canonical-cnl,manuscript-accepted__controlled_clean_p1_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.959,1,0,4,0,0
manuscript-accepted__controlled,manuscript-accepted,controlled,2,manuscript,core,canonical-cnl,manuscript-accepted__controlled_clean_p2_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.968,1,0,4,0,0
manuscript-accepted__controlled,manuscript-accepted,controlled,3,manuscript,core,canonical-cnl,manuscript-accepted__controlled_clean_p3_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,1,1,0,4,0,0
manuscript-accepted__controlled,manuscript-accepted,controlled,4,manuscript,core,canonical-cnl,manuscript-accepted__controlled_clean_p4_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,1,1,0,3,0,0
manuscript-accepted__paraphrased,manuscript-accepted,paraphrased,1,manuscript,core,canonical-cnl,manuscript-accepted__paraphrased_clean_p1_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.966,1,0,4,0,0
manuscript-accepted__paraphrased,manuscript-accepted,paraphrased,2,manuscript,core,canonical-cnl,manuscript-accepted__paraphrased_clean_p2_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.988,1,0,4,0,0
manuscript-accepted__paraphrased,manuscript-accepted,paraphrased,3,manuscript,core,canonical-cnl,manuscript-accepted__paraphrased_clean_p3_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,1,1,0,4,0,0
manuscript-accepted__paraphrased,manuscript-accepted,paraphrased,4,manuscript,core,canonical-cnl,manuscript-accepted__paraphrased_clean_p4_rich,manuscript,1,1,1,1,manuscript,1,manuscript,0.717,1,manuscript,1,1,0,4,0,0
manuscript-accepted__noisy,manuscript-accepted,noisy,1,manuscript,core,canonical-cnl,manuscript-accepted__noisy_clean_p1_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.966,1,0,4,0,0
manuscript-accepted__noisy,manuscript-accepted,noisy,2,manuscript,core,canonical-cnl,manuscript-accepted__noisy_clean_p2_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,0.983,1,0,4,0,0
manuscript-accepted__noisy,manuscript-accepted,noisy,3,manuscript,core,canonical-cnl,manuscript-accepted__noisy_clean_p3_rich,manuscript,1,1,1,1,manuscript,1,manuscript,1,1,manuscript,1,1,0,4,0,0
manuscript-accepted__noisy,manuscript-accepted,noisy,4,manuscript,core,canonical-cnl,manuscript-accepted__noisy_clean_p4_rich,manuscript,1,1,1,1,manuscript,1,manuscript,0.717,1,manuscript,1,1,0,4,0,0
procurement-generic__controlled,procurement-generic,controlled,1,procurement,extended,canonical-cnl,procurement-generic__controlled_clean_p1_rich,package,0.512,0,0,,package,0,compliance,0.143,0,package,0.423,0,1.974,8,1,0
procurement-generic__controlled,procurement-generic,controlled,2,procurement,extended,canonical-cnl,procurement-generic__controlled_clean_p2_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,package,0.477,0,0,4,0,0
procurement-generic__controlled,procurement-generic,controlled,3,procurement,extended,canonical-cnl,procurement-generic__controlled_clean_p3_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,package,0.59,0,0,4,0,0
procurement-generic__controlled,procurement-generic,controlled,4,procurement,extended,canonical-cnl,procurement-generic__controlled_clean_p4_rich,procurement,1,1,1,1,procurement,1,procurement,0.79,1,compliance,0.808,0,0,4,0,0
procurement-generic__paraphrased,procurement-generic,paraphrased,1,procurement,extended,canonical-cnl,procurement-generic__paraphrased_clean_p1_rich,manuscript,0.372,0,0,,manuscript,0,compliance,0.143,0,package,0.404,0,1.565,8,1,0
procurement-generic__paraphrased,procurement-generic,paraphrased,2,procurement,extended,canonical-cnl,procurement-generic__paraphrased_clean_p2_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,package,0.372,0,0,4,0,0
procurement-generic__paraphrased,procurement-generic,paraphrased,3,procurement,extended,canonical-cnl,procurement-generic__paraphrased_clean_p3_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,compliance,0.568,0,0,4,0,0
procurement-generic__paraphrased,procurement-generic,paraphrased,4,procurement,extended,canonical-cnl,procurement-generic__paraphrased_clean_p4_rich,procurement,1,1,1,1,procurement,1,procurement,0.79,1,compliance,0.838,0,0,4,0,0
procurement-generic__noisy,procurement-generic,noisy,1,procurement,extended,canonical-cnl,procurement-generic__noisy_clean_p1_rich,package,0.512,0,0,,package,0,compliance,0.143,0,package,0.423,0,1.974,8,1,0
procurement-generic__noisy,procurement-generic,noisy,2,procurement,extended,canonical-cnl,procurement-generic__noisy_clean_p2_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,sample,0.449,0,0,4,0,0
procurement-generic__noisy,procurement-generic,noisy,3,procurement,extended,canonical-cnl,procurement-generic__noisy_clean_p3_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,package,0.772,0,0,4,0,0
procurement-generic__noisy,procurement-generic,noisy,4,procurement,extended,canonical-cnl,procurement-generic__noisy_clean_p4_rich,procurement,1,1,1,1,procurement,1,procurement,0.79,1,compliance,0.555,0,0,4,0,0
procurement-payment-order__controlled,procurement-payment-order,controlled,1,procurement,extended,canonical-cnl,procurement-payment-order__controlled_clean_p1_rich,package,0.512,0,0,,package,0,compliance,0.143,0,sample,0.329,0,1.974,8,1,0
procurement-payment-order__controlled,procurement-payment-order,controlled,2,procurement,extended,canonical-cnl,procurement-payment-order__controlled_clean_p2_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,procurement,0.801,1,0,4,0,0
procurement-payment-order__controlled,procurement-payment-order,controlled,3,procurement,extended,canonical-cnl,procurement-payment-order__controlled_clean_p3_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,procurement,1,1,0,4,0,0
procurement-payment-order__controlled,procurement-payment-order,controlled,4,procurement,extended,canonical-cnl,procurement-payment-order__controlled_clean_p4_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,procurement,1,1,0,3,0,0
procurement-payment-order__paraphrased,procurement-payment-order,paraphrased,1,procurement,extended,canonical-cnl,procurement-payment-order__paraphrased_clean_p1_rich,package,0.512,0,0,,package,0,compliance,0.143,0,manuscript,0.19,0,1.974,8,1,0
procurement-payment-order__paraphrased,procurement-payment-order,paraphrased,2,procurement,extended,canonical-cnl,procurement-payment-order__paraphrased_clean_p2_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,procurement,0.876,1,0,4,0,0
procurement-payment-order__paraphrased,procurement-payment-order,paraphrased,3,procurement,extended,canonical-cnl,procurement-payment-order__paraphrased_clean_p3_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,procurement,1,1,0,4,0,0
procurement-payment-order__paraphrased,procurement-payment-order,paraphrased,4,procurement,extended,canonical-cnl,procurement-payment-order__paraphrased_clean_p4_rich,procurement,1,1,1,1,procurement,1,procurement,1,1,procurement,1,1,0,4,0,0
