case_id,ground_truth_domain,prefix_depth,condition_id,usage_mode,canonical_run_id,cnl_line_count,update_cnl_line_count,lexical_domain,lexical_accuracy,single_theory_domain,single_theory_accuracy,frontier_top_domain,frontier_top_accuracy,resolved_accuracy,frontier_retains_truth,frontier_domains,question_id,gold_answer,information_gain,question_top_domain_after,question_top_accuracy_after,rescued_by_question,domain_entropy_before,domain_entropy_after,canonical_families
package-barcode,package,3,clean,canonical-cnl,package-barcode_clean_p3_rich,391,,package,1,package,1,package,1,1,1,package:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
package-barcode,package,3,masked,canonical-cnl,package-barcode_masked_p3_rich,379,,package,1,package,1,package,1,1,1,package:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
package-manifest,package,2,clean,canonical-cnl,package-manifest_clean_p2_rich,359,,package,1,package,1,package,1,1,1,package:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
package-manifest,package,2,masked,canonical-cnl,package-manifest_masked_p2_rich,389,366,manuscript,0,package,1,package,1,1,1,package:0.665;manuscript:0.168;sample:0.168,package-dispatch,yes,0.92,package,1,0,1.255,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-manifest,package,3,clean,canonical-cnl,package-manifest_clean_p3_rich,395,,package,1,package,1,package,1,1,1,package:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
package-manifest,package,3,masked,canonical-cnl,package-manifest_masked_p3_rich,383,,package,1,package,1,package,1,1,1,package:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
package-return,package,2,clean,canonical-cnl,package-return_clean_p2_rich,387,,package,1,package,1,package,1,1,1,package:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
package-return,package,2,masked,canonical-cnl,package-return_masked_p2_rich,442,418,manuscript,0,package,1,package,1,1,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,yes,0.912,package,1,0,1.239,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-return,package,3,clean,canonical-cnl,package-return_clean_p3_rich,415,,package,1,package,1,package,1,1,1,package:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
package-return,package,3,masked,canonical-cnl,package-return_masked_p3_rich,442,418,manuscript,0,package,1,package,1,1,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,yes,0.912,package,1,0,1.239,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-transfer,package,2,clean,canonical-cnl,package-transfer_clean_p2_rich,422,398,manuscript,0,package,1,package,1,1,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,yes,0.912,package,1,0,1.239,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-transfer,package,2,masked,canonical-cnl,package-transfer_masked_p2_rich,422,398,manuscript,0,package,1,package,1,1,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,yes,0.912,package,1,0,1.239,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-transfer,package,3,clean,canonical-cnl,package-transfer_clean_p3_rich,391,,package,1,package,1,package,1,1,1,package:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
package-transfer,package,3,masked,canonical-cnl,package-transfer_masked_p3_rich,422,398,manuscript,0,package,1,package,1,1,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,yes,0.912,package,1,0,1.239,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-identified,sample,2,clean,canonical-cnl,sample-identified_clean_p2_rich,399,,sample,1,sample,1,sample,1,1,1,sample:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
sample-identified,sample,2,masked,canonical-cnl,sample-identified_masked_p2_rich,442,451,manuscript,0,package,0,package,0,0,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,no,0.912,manuscript,0,0,1.239,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-identified,sample,3,clean,canonical-cnl,sample-identified_clean_p3_rich,419,,sample,1,sample,1,sample,1,1,1,sample:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
sample-identified,sample,3,masked,canonical-cnl,sample-identified_masked_p3_rich,442,451,manuscript,0,package,0,package,0,0,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,no,0.912,manuscript,0,0,1.239,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-generic,sample,2,clean,canonical-cnl,sample-generic_clean_p2_rich,442,451,manuscript,0,package,0,package,0,0,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,no,0.912,manuscript,0,0,1.239,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-generic,sample,2,masked,canonical-cnl,sample-generic_masked_p2_rich,442,451,manuscript,0,package,0,package,0,0,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,no,0.912,manuscript,0,0,1.239,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-generic,sample,3,clean,canonical-cnl,sample-generic_clean_p3_rich,399,,sample,1,sample,1,sample,1,1,1,sample:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
sample-generic,sample,3,masked,canonical-cnl,sample-generic_masked_p3_rich,442,451,manuscript,0,package,0,package,0,0,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,no,0.912,manuscript,0,0,1.239,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-freezer,sample,2,clean,canonical-cnl,sample-freezer_clean_p2_rich,375,,sample,1,sample,1,sample,1,1,1,sample:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
sample-freezer,sample,2,masked,canonical-cnl,sample-freezer_masked_p2_rich,442,451,manuscript,0,package,0,package,0,0,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,no,0.912,manuscript,0,0,1.239,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-freezer,sample,3,clean,canonical-cnl,sample-freezer_clean_p3_rich,395,,sample,1,sample,1,sample,1,1,1,sample:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
sample-freezer,sample,3,masked,canonical-cnl,sample-freezer_masked_p3_rich,442,451,manuscript,0,package,0,package,0,0,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,no,0.912,manuscript,0,0,1.239,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-aliquot,sample,2,clean,canonical-cnl,sample-aliquot_clean_p2_rich,399,,sample,1,sample,1,sample,1,1,1,sample:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
